ip_range,ports,country_code,responses,datetime
220.158.80.0-220.158.127.255,"19132,25565",JP,0,2025-01-22 07:35:58.368955
175.100.208.0-175.100.255.255,"19132,25565",JP,0,2025-01-22 07:36:30.616193
203.95.16.0-203.95.63.255,"19132,25565",JP,0,2025-01-22 07:37:03.873569
116.58.144.0-116.58.191.255,"19132,25565",JP,0,2025-01-22 07:37:37.145187
116.118.192.0-116.118.239.255,"19132,25565",JP,0,2025-01-22 07:38:09.667857
61.4.128.0-61.4.175.255,"19132,25565",JP,0,2025-01-22 07:38:43.440698
203.222.208.0-203.222.255.255,"19132,25565",JP,0,2025-01-22 07:39:16.934997
27.34.128.0-27.34.175.255,"19132,25565",JP,0,2025-01-22 07:39:49.726235
118.67.64.0-118.67.111.255,"19132,25565",JP,0,2025-01-22 07:40:22.761269
133.152.172.0-133.152.220.255,"19132,25565",JP,0,2025-01-22 07:40:57.275961
116.92.15.0-116.92.63.255,"19132,25565",JP,0,2025-01-22 07:41:30.551940
202.94.175.0-202.94.223.255,"19132,25565",JP,0,2025-01-22 07:42:04.082124
116.92.134.0-116.92.183.255,"19132,25565",JP,0,2025-01-22 07:42:38.871242
202.229.82.0-202.229.131.255,"19132,25565",JP,0,2025-01-22 07:43:15.427391
210.150.117.0-210.150.166.255,"19132,25565",JP,0,2025-01-22 07:43:49.454550
160.248.16.0-160.248.67.255,"19132,25565",JP,0,2025-01-22 07:44:23.727266
205.198.128.0-205.198.179.255,"19132,25565",JP,0,2025-01-22 07:44:23.790000
172.105.192.0-172.105.243.255,"19132,25565",JP,1,2025-01-22 07:47:18.632578
210.88.236.0-210.89.31.255,"19132,25565",JP,0,2025-01-22 07:47:53.666091
173.39.202.0-173.39.255.255,"19132,25565",JP,0,2025-01-22 07:48:30.197996
45.32.8.0-45.32.63.255,"19132,25565",JP,0,2025-01-22 07:49:07.737387
119.63.144.0-119.63.199.255,"19132,25565",JP,0,2025-01-22 07:49:45.043660
203.133.192.0-203.133.247.255,"19132,25565",JP,0,2025-01-22 07:50:22.841142
119.82.152.0-119.82.207.255,"19132,25565",JP,0,2025-01-22 07:51:01.636794
210.88.0.0-210.88.55.255,"19132,25565",JP,0,2025-01-22 07:51:40.214445
117.102.168.0-117.102.223.255,"19132,25565",JP,0,2025-01-22 07:52:18.783777
202.33.8.0-202.33.63.255,"19132,25565",JP,0,2025-01-22 07:52:56.605477
124.40.54.0-124.40.111.255,"19132,25565",JP,0,2025-01-22 07:53:34.887139
160.248.190.0-160.248.247.255,"19132,25565",JP,0,2025-01-22 07:54:14.439239
210.140.62.0-210.140.123.255,"19132,25565",JP,0,2025-01-22 07:54:54.004874
203.183.153.0-203.183.214.255,"19132,25565",JP,0,2025-01-22 07:55:34.574735
205.199.194.0-205.199.255.255,"19132,25565",JP,0,2025-01-22 07:55:34.644613
221.12.192.0-221.12.255.255,"19132,25565",JP,0,2025-01-22 07:56:15.652307
138.2.0.0-138.2.63.255,"19132,25565",JP,0,2025-01-22 07:56:57.157254
64.63.64.0-64.63.127.255,"19132,25565",JP,0,2025-01-22 07:57:38.740046
115.146.0.0-115.146.63.255,"19132,25565",JP,0,2025-01-22 07:58:20.311787
64.104.0.0-64.104.63.255,"19132,25565",JP,0,2025-01-22 08:22:58.525603
60.254.192.0-60.254.255.255,"19132,25565",JP,0,2025-01-22 08:23:40.090135
203.174.192.0-203.174.255.255,"19132,25565",JP,0,2025-01-22 08:26:08.233261
210.89.192.0-210.89.255.255,"19132,25565",JP,0,2025-01-22 08:27:25.069568
59.191.128.0-59.191.191.255,"19132,25565",JP,0,2025-01-22 08:28:06.631049
221.133.64.0-221.133.127.255,"19132,25565",JP,0,2025-01-22 08:28:47.686464
221.121.192.0-221.121.255.255,"19132,25565",JP,0,2025-01-22 08:29:29.521427
111.125.0.0-111.125.63.255,"19132,25565",JP,0,2025-01-22 08:30:10.608412
113.208.0.0-113.208.63.255,"19132,25565",JP,0,2025-01-22 08:30:52.201447
150.5.64.0-150.5.127.255,"19132,25565",JP,0,2025-01-22 08:31:34.008534
114.111.64.0-114.111.127.255,"19132,25565",JP,0,2025-01-22 08:32:15.560525
114.134.96.0-114.134.159.255,"19132,25565",JP,0,2025-01-22 08:32:57.133595
8.209.192.0-8.209.255.255,"19132,25565",JP,0,2025-01-22 08:33:38.674055
8.211.128.0-8.211.191.255,"19132,25565",JP,0,2025-01-22 08:34:19.683109
8.222.64.0-8.222.127.255,"19132,25565",JP,0,2025-01-22 08:35:00.755457
156.231.16.0-156.231.79.255,"19132,25565",JP,0,2025-01-23 16:09:20.463005
17.88.128.0-17.88.205.255,"19132,25565",JP,0,2025-01-23 16:20:34.532279
119.47.128.0-119.47.255.255,"19132,25565",JP,0,2025-01-23 16:45:04.987051
110.165.128.0-110.165.255.255,"19132,25565",JP,0,2025-01-23 17:58:42.267827
219.94.128.0-219.94.255.255,"19132,25565",JP,0,2025-01-23 17:59:51.514103
8.221.128.0-8.221.255.255,"19132,25565",JP,0,2025-01-23 18:01:01.299356
223.223.0.0-223.223.127.255,"19132,25565",JP,0,2025-01-23 18:02:10.539486
152.117.128.0-152.117.255.255,"19132,25565",JP,0,2025-01-23 18:03:19.984185
162.43.0.0-162.43.127.255,"19132,25565",JP,52,2025-01-23 18:04:28.983735
20.194.128.0-20.194.255.255,"19132,25565",JP,0,2025-01-23 18:05:37.744430
124.219.128.0-124.219.255.255,"19132,25565",JP,0,2025-01-23 18:06:47.023292
23.232.128.0-23.232.255.255,"19132,25565",JP,0,2025-01-23 18:07:55.782636
123.176.128.0-123.176.255.255,"19132,25565",JP,0,2025-01-23 18:09:04.775301
20.63.128.0-20.63.255.255,"19132,25565",JP,0,2025-01-23 18:10:13.560554
110.74.0.0-110.74.127.255,"19132,25565",JP,0,2025-01-23 18:11:22.552992
101.102.128.0-101.102.255.255,"19132,25565",JP,1,2025-01-23 18:12:31.556242
20.48.0.0-20.48.127.255,"19132,25565",JP,0,2025-01-23 18:13:40.567237
110.54.0.0-110.54.127.255,"19132,25565",JP,0,2025-01-23 18:14:49.570042
61.12.128.0-61.12.255.255,"19132,25565",JP,0,2025-01-23 18:15:58.746512
101.97.128.0-101.97.255.255,"19132,25565",JP,0,2025-01-23 18:30:14.895183
117.55.0.0-117.55.127.255,"19132,25565",JP,0,2025-01-23 18:31:23.940406
193.119.128.0-193.119.255.255,"19132,25565",JP,0,2025-01-23 18:32:33.226418
54.92.0.0-54.92.127.255,"19132,25565",JP,0,2025-01-23 18:33:42.536519
120.51.128.0-120.51.255.255,"19132,25565",JP,0,2025-01-23 18:34:52.125600
213.18.0.0-213.18.127.255,"19132,25565",JP,0,2025-01-23 18:36:01.192671
35.200.0.0-35.200.127.255,"19132,25565",JP,0,2025-01-23 18:37:10.210190
35.213.0.0-35.213.127.255,"19132,25565",JP,0,2025-01-23 18:38:18.689868
120.89.128.0-120.89.255.255,"19132,25565",JP,0,2025-01-23 18:39:27.685714
35.217.128.0-35.217.255.255,"19132,25565",JP,0,2025-01-23 18:40:36.956736
118.27.0.0-118.27.127.255,"19132,25565",JP,3,2025-01-23 18:41:46.238335
120.137.128.0-120.137.255.255,"19132,25565",JP,0,2025-01-23 18:42:54.748564
175.28.128.0-175.28.255.255,"19132,25565",JP,0,2025-01-23 18:44:03.728138
115.167.128.0-115.167.255.255,"19132,25565",JP,0,2025-01-23 18:45:12.955084
34.104.128.0-34.104.255.255,"19132,25565",JP,0,2025-01-23 18:46:21.687092
120.143.0.0-120.143.127.255,"19132,25565",JP,0,2025-01-23 18:47:30.747583
223.29.0.0-223.29.127.255,"19132,25565",JP,1,2025-01-23 18:48:40.515765
116.67.128.0-116.67.255.255,"19132,25565",JP,0,2025-01-23 18:49:50.400792
116.70.128.0-116.70.255.255,"19132,25565",JP,0,2025-01-23 18:51:00.192793
210.247.0.0-210.247.127.255,"19132,25565",JP,0,2025-01-23 18:52:09.957642
175.184.0.0-175.184.127.255,"19132,25565",JP,0,2025-01-23 18:53:18.893070
45.75.0.0-45.75.127.255,"19132,25565",JP,0,2025-01-23 18:54:27.890515
134.172.0.0-134.172.127.255,"19132,25565",JP,0,2025-01-23 18:55:36.636858
40.115.128.0-40.115.255.255,"19132,25565",JP,0,2025-01-23 18:56:45.694458
124.110.128.0-124.110.255.255,"19132,25565",JP,0,2025-01-23 18:57:54.744390
220.156.192.0-220.157.63.255,"19132,25565",JP,0,2025-01-23 18:59:03.520319
207.65.128.0-207.65.255.255,"19132,25565",JP,0,2025-01-23 19:00:12.762091
116.0.128.0-116.0.255.255,"19132,25565",JP,0,2025-01-23 19:01:21.750110
8.216.0.0-8.216.127.255,"19132,25565",JP,0,2025-01-23 19:02:30.750012
183.177.128.0-183.177.255.255,"19132,25565",JP,1,2025-01-23 19:03:39.538692
113.213.128.0-113.213.255.255,"19132,25565",JP,0,2025-01-23 19:04:48.589907
61.7.0.0-61.7.127.255,"19132,25565",JP,0,2025-01-23 19:05:57.542822
193.114.192.0-193.115.63.255,"19132,25565",JP,0,2025-01-23 19:07:06.771259
149.54.128.0-149.54.255.255,"19132,25565",JP,0,2025-01-23 19:08:07.744592
111.68.128.0-111.68.255.255,"19132,25565",JP,0,2025-01-23 19:09:16.696222
219.75.128.0-219.75.255.255,"19132,25565",JP,0,2025-01-23 19:10:25.710363
220.247.0.0-220.247.127.255,"19132,25565",JP,0,2025-01-23 19:11:34.733784
123.1.0.0-123.1.127.255,"19132,25565",JP,0,2025-01-23 19:12:43.742495
111.171.128.0-111.171.255.255,"19132,25565",JP,0,2025-01-23 19:13:52.742288
27.114.0.0-27.114.127.255,"19132,25565",JP,0,2025-01-23 19:15:01.710803
13.78.0.0-13.78.127.255,"19132,25565",JP,0,2025-01-23 19:16:10.709625
218.33.128.0-218.33.255.255,"19132,25565",JP,0,2025-01-23 19:17:19.698035
27.253.128.0-27.253.255.255,"19132,25565",JP,0,2025-01-23 19:18:28.697898
219.73.128.0-219.73.255.255,"19132,25565",JP,0,2025-01-23 19:19:37.751197
147.92.128.0-147.92.255.255,"19132,25565",JP,7,2025-01-23 19:20:46.747259
101.128.128.0-101.128.255.255,"19132,25565",JP,0,2025-01-23 19:21:55.762734
192.174.128.0-192.174.255.255,"19132,25565",JP,0,2025-01-23 19:23:04.527151
122.255.128.0-122.255.255.255,"19132,25565",JP,0,2025-01-23 19:24:13.536167
